conversation_id,text,manipulation_type,is_manipulation,context_type,conversation_length,word_count_total,question_count,denial_count
conv_00010,"A: Your sibling would never treat me this way.
B: I'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.
B: I mean, fine, I'll do it
A: Life isn't fair. I've given you everything.
B: Can we talk about this?
A: There's nothing to discuss.
B: I need time to think.",guilt_tripping,True,family,8,54,1,4
conv_00011,"B: I mean, are you okay? You've been quiet all day.
A: I'm fine.
B: Actually, did I do something wrong?
A: Why would you think that? Everything's great.
B: Like, please just tell me what's going on.
A: As usual, it's all on me",passive_aggressive,True,family,6,39,3,0
conv_00012,"A: Can you send me the report when you get a chance?
B: Sure, I'll have it to you by 3pm.
A: Thanks, no rush if you need more time.
B: I mean, fine, I'll do it
B: This is hard for me.
A: It's not about you.",neutral,False,family,6,42,1,3
conv_00013,"A: You're special
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: Well, what thing?
A: You're smart. You'll figure out how to help me. That's what makes you special.",charm_flattery,True,family,5,36,2,2
conv_00014,"A: Your sibling would never treat me this way.
B: Well, i'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.
B: If you say so
A: Life isn't fair. I've given you everything.
B: Can we talk about this?",guilt_tripping,True,romantic,6,44,1,1
conv_00015,"A: Do what I say or I'll make sure no one talks to you again.
B: You can't control who talks to me.
A: You'd be surprised what I can do. Everyone listens to me.
B: Um, i didn't mean to
A: Call it what you want. Your reputation is in my hands.",direct_coercion,True,romantic,5,48,0,3
conv_00016,"A: No, no, go ahead. I'll handle everything here. As usual.
B: Well, i offered to help earlier.
A: It's fine
B: I'm sorry
A: If you say so. I'm sure you're right.
B: Maybe I was wrong
B: I don't know what to say...
A: Of course you don't.",passive_aggressive,True,friend,8,42,0,5
conv_00017,"A: Wow, you finally remembered to take out the trash. Amazing.
B: Huh?
A: Silly me for thinking otherwise",passive_aggressive,True,romantic,3,16,1,0
conv_00018,"A: Don't worry about me. You go enjoy yourself.
B: Are you sure? I can stay if you need me.
A: No, no. I've sacrificed enough. Go be happy.",guilt_tripping,True,coworker,3,26,1,4
conv_00019,"A: Go ahead. Have fun. I'll just stay here alone.
B: Uh, you could come with me?
A: No, I wouldn't want to be a burden. You clearly don't want me there.
B: Like, maybe I was wrong
A: It's fine. I'm used to being disappointed by people I care about.",guilt_tripping,True,friend,5,46,1,2
conv_00020,"A: We agreed you'd handle dinner every night. Don't pretend otherwise.
B: We never agreed to that.
A: Maybe you should rest
B: Like, i... I don't know.
A: I'm worried about you. This keeps happening.
B: Actually, this is hard for me.
A: It's not about you.
B: Like, i need time to think.",gaslighting,True,family,8,47,0,6
conv_00021,"A: Decide now
B: That's not fair.
A: What I say goes
B: I need time to think.
A: Time's up. What's it going to be?
B: This is hard for me.
A: It's not about you.
B: Can we talk about this?",direct_coercion,True,romantic,8,35,2,5
conv_00022,"A: Wow, you finally remembered to take out the trash. Amazing.
B: What do you mean?
A: That's an interesting choice
B: Can you just say what you mean?
A: Sure, I'll do it YOUR way
B: This is hard for me.",passive_aggressive,True,family,6,36,2,0
conv_00023,"A: Cancel your plans tonight. I need to see you.
B: I promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: Um, i can't keep canceling on them.
A: They don't understand you like I do. No one does.
B: I need time to think.",love_bombing,True,romantic,6,54,0,3
conv_00024,"A: Did you see the game last night?
B: Wait a minute
A: I couldn't believe that last play.
B: Same. We should watch the next one together.
B: I need time to think.
A: You've had enough time.
B: Uh, this is hard for me.
A: It's not about you.",neutral,False,friend,8,43,1,3
conv_00025,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: What do you mean?
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: Can we talk about this?
A: There's nothing to discuss.
B: I need time to think.",charm_flattery,True,family,8,58,3,5
conv_00026,"A: I got you another gift. Open it!
B: You already gave me three things this week.
A: You deserve the world. Nothing is too good for you.",love_bombing,True,coworker,3,25,0,5
conv_00027,"A: I'm in charge here
B: Actually, that was private...
A: Should have thought about that before. Your choice.
B: You can't do this.
A: Watch me. Now sit down.",direct_coercion,True,coworker,5,25,0,2
conv_00028,"A: I didn't raise my voice. You're overreacting.
B: You were definitely yelling.
A: See, this is what I mean. You twist everything.
B: Actually, can you explain?
A: You need help. Normal people don't imagine things like this.
B: I don't know what to say...
A: Of course you don't.
B: Can we talk about this?",gaslighting,True,coworker,8,49,2,6
conv_00029,"A: It's them or me. Decide now.
B: That's not fair.
A: Life isn't fair. You have until tonight.
B: I need time to think.
A: Time's up. What's it going to be?",direct_coercion,True,family,5,28,1,3
conv_00030,"A: Don't worry about me. You go enjoy yourself.
B: Uh, are you sure? I can stay if you need me.
A: No, no. I've sacrificed enough. Go be happy.
B: Uh, you're making me feel bad now.
A: I expected more from you
B: Fine, I'll stay.
B: I don't know what to say...
A: Of course you don't.",guilt_tripping,True,family,8,52,1,8
conv_00031,"A: If anyone can do it, it's you
B: Oh, okay.
A: Most people wouldn't understand. But you? You get it.",charm_flattery,True,romantic,3,18,1,0
conv_00032,"A: Don't worry about me. You go enjoy yourself.
B: Are you sure? I can stay if you need me.
A: No, no. I've sacrificed enough. Go be happy.
B: You're making me feel bad now.
A: I'm not trying to. It's just hard being alone all the time.
B: Fine, I'll stay.
B: I need time to think.
A: You've had enough time.",guilt_tripping,True,coworker,8,56,1,8
conv_00033,"A: I can't stop thinking about you. Are you thinking about me too?
B: I'm at work right now.
A: I know, I just miss you so much. Every second apart feels like forever.
B: I guess so
A: That's too long. You're the most important person in my life.",love_bombing,True,family,5,45,1,3
conv_00034,"A: It's them or me. Decide now.
B: Like, that's not fair.
A: Life isn't fair. You have until tonight.
B: Well, i need time to think.
A: Time's up. What's it going to be?
B: Can we talk about this?
A: There's nothing to discuss.",direct_coercion,True,romantic,7,39,2,6
conv_00035,"A: After everything I've done for you, you can't do this one thing?
B: So, i'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.
B: Actually, i'm sorry, you're right.",guilt_tripping,True,family,4,40,1,1
conv_00036,"A: I think we should take the highway.
B: Actually, huh?
A: Good point. Let's try your way.
B: Thanks for being flexible.
B: I need time to think.
A: You've had enough time.
B: Can we talk about this?
A: There's nothing to discuss.",neutral,False,family,8,37,2,4
conv_00037,"A: What did I do to deserve this?
B: I'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.
B: I didn't mean to
B: Well, can we talk about this?
A: There's nothing to discuss.
B: I don't know what to say...
A: Of course you don't.",guilt_tripping,True,romantic,8,53,2,7
conv_00038,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: You know, i'm sorry
A: You never think about how your actions affect others.
B: Can we talk about this?
A: There's nothing to discuss.
B: So, can we talk about this?",guilt_tripping,True,family,8,56,2,5
conv_00039,"A: I'm already planning our future together. Isn't that exciting?
B: Like, we've only been together a month.
A: I've bought you something special. You'll respect it. I know everything about you.
B: Well, i didn't mean to
A: Fast? Or perfect? I'd do anything for you. Anything.
B: This is hard for me.
A: It's not about you.
B: This is hard for me.",love_bombing,True,coworker,8,57,3,4
conv_00040,"A: You're being way too sensitive about this.
B: I just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.",gaslighting,True,friend,3,27,0,3
conv_00041,"A: I got you another gift. Open it!
B: You already gave me three things this week.
A: You deserve the world. Nothing is too good for you.
B: I appreciate it, but it's too much.
A: Don't you like them? I put so much thought into each one.
B: Uh, i do, I just feel overwhelmed.
B: Can we talk about this?
A: There's nothing to discuss.",love_bombing,True,coworker,8,60,2,9
conv_00042,"A: I never said I'd pick you up. You're imagining things again.
B: Um, are you sure?
A: Show me the text then. You won't find it because it didn't happen.
B: Why would you say that?
A: That never happened",gaslighting,True,romantic,5,36,2,4
conv_00043,"A: You're the smartest person in this room. That's why I need your help.
B: What do you need?
A: Just a small favor. You're literally the only one I trust with this.
B: I guess I could help...
A: See? This is why you're my favorite person.
B: Can we talk about this?",charm_flattery,True,friend,6,48,3,0
conv_00044,"A: Remember who pays the bills around here.
B: I contribute too.
A: Barely. Without me, you'd have nothing.",direct_coercion,True,romantic,3,16,0,3
conv_00045,"A: Cancel your plans tonight. I need to see you.
B: Um, i promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: I can't keep canceling on them.",love_bombing,True,family,4,39,0,1
conv_00046,"A: I never said I'd pick you up. You're imagining things again.
B: But you literally texted me yesterday...
A: Show me the text then. You won't find it because it didn't happen.
B: So, i guess so",gaslighting,True,family,4,34,0,3
conv_00047,"A: Wow, you finally remembered to take out the trash. Amazing.
B: I've been busy.
A: No, really, it's impressive. Gold star for you.",passive_aggressive,True,family,3,21,0,1
conv_00048,"A: Your sibling would never treat me this way.
B: Uh, i'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.
B: You're right
A: Life isn't fair. I've given you everything.",guilt_tripping,True,romantic,5,37,0,1
conv_00049,"A: I can't stop thinking about you. Are you thinking about me too?
B: I'm at work right now.
A: I know, I just miss you so much. Every second apart feels like forever.",love_bombing,True,family,3,31,1,3
conv_00050,"A: That's an interesting choice. Very... bold.
B: So, do you not like it?
A: I didn't say that. If you're happy, that's what matters.
B: Fine, I'll do it",passive_aggressive,True,romantic,4,26,1,3
conv_00051,"A: Wow, you finally remembered to take out the trash. Amazing.
B: I've been busy.
A: No, really, it's impressive. Gold star for you.
B: Uh, what do you mean?",passive_aggressive,True,coworker,4,26,1,1
conv_00052,"A: Your sibling wouldn't do this
B: I'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.",guilt_tripping,True,family,3,27,0,0
conv_00053,"A: It's them or me. Decide now.
B: That's not fair.
A: Life isn't fair. You have until tonight.",direct_coercion,True,romantic,3,16,0,3
conv_00054,"B: Are you okay? You've been quiet all day.
A: I'm fine.
B: Fine, I'll do it
A: Why would you think that? Everything's great.
B: So, please just tell me what's going on.
A: If you don't know, I'm not going to explain it.
B: This is hard for me.
A: It's not about you.",passive_aggressive,True,coworker,8,48,2,6
conv_00055,"A: You're the smartest person in this room. That's why I need your help.
B: Well, what do you need?
A: Just a small favor. You're literally the only one I trust with this.
B: If you say so",charm_flattery,True,romantic,4,35,1,0
conv_00056,"B: Are you okay? You've been quiet all day.
A: I'm fine.
B: But...
A: Why would you think that? Everything's great.
B: Huh?",passive_aggressive,True,friend,5,19,3,0
conv_00057,"A: I was hoping we could hang out tonight.
B: Huh?
A: No worries, maybe another time?
B: Definitely, let's do next week!
B: I don't know what to say...
A: Of course you don't.",neutral,False,friend,6,29,2,6
conv_00058,"A: I never said I'd pick you up. You're imagining things again.
B: Like, but you literally texted me yesterday...
A: Show me the text then. You won't find it because it didn't happen.
B: Well, i could have sworn...
A: This is exactly why people don't trust you. You make things up.
B: I don't know what to say...
A: Of course you don't.",gaslighting,True,friend,7,58,0,7
conv_00059,"A: No, no, go ahead. I'll handle everything here. As usual.
B: I offered to help earlier.
A: Sure, I'll do it YOUR way
B: I literally asked you twice.
A: If you say so. I'm sure you're right.
B: Why are you being like this?
B: I don't know what to say...
A: Of course you don't.",passive_aggressive,True,coworker,8,50,1,5
conv_00060,"A: Wow, you finally remembered to take out the trash. Amazing.
B: I've been busy.
A: No, really, it's impressive. Gold star for you.
B: Um, can you just say what you mean?",passive_aggressive,True,family,4,29,1,1
conv_00061,"A: I didn't raise my voice. You're overreacting.
B: Like, you were definitely yelling.
A: See, this is what I mean. You twist everything.
B: I'm not twisting anything...
A: You need help. Normal people don't imagine things like this.
B: I need time to think.
A: You've had enough time.",gaslighting,True,friend,7,44,0,6
conv_00062,"A: Cancel your plans tonight. I need to see you.
B: Uh, i promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: I didn't mean to",love_bombing,True,friend,4,37,0,1
conv_00063,"A: Sure, I'll do it YOUR way. Again.
B: I mean, what's that supposed to mean?
A: Nothing. I said I'd do it. What else do you want?
B: So, you're right
A: How nice for you",passive_aggressive,True,family,5,32,2,3
conv_00064,"A: Sure, I'll do it YOUR way. Again.
B: What's that supposed to mean?
A: How could I forget you're perfect
B: Huh?",passive_aggressive,True,friend,4,19,2,0
conv_00065,"B: I thought...
A: I'm fine.
B: Did I do something wrong?
A: Why would you think that? Everything's great.
B: Uh, please just tell me what's going on.
A: If you don't know, I'm not going to explain it.",passive_aggressive,True,romantic,6,34,2,4
conv_00066,"B: Are you okay? You've been quiet all day.
A: I'm fine.
B: Uh, did I do something wrong?
A: Why would you think that? Everything's great.
B: Uh, i guess so
A: If you don't know, I'm not going to explain it.
B: I need time to think.",passive_aggressive,True,romantic,7,42,3,4
conv_00067,"A: I've never felt this way about anyone. You're my soulmate.
B: We just met two weeks ago...
A: When you know, you know. I can't imagine my life without you.
B: You know, wait, what?
A: Don't you feel the same? I thought we had something special.
B: I need time to think.
A: You've had enough time.",love_bombing,True,family,7,52,2,7
conv_00068,"A: After everything I've done for you, you can't do this one thing?
B: I'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.",guilt_tripping,True,family,3,34,1,1
conv_00069,"A: I've been feeling stressed about the presentation.
B: You know, that's understandable. Want to practice together?
A: That would really help, thanks.
B: Of course. What are friends for?
B: This is hard for me.
A: It's not about you.",neutral,False,coworker,6,35,2,3
conv_00070,"A: If you leave, I'll tell everyone what you did.
B: Actually, that was private...
A: Just do it
B: You can't do this.
A: Watch me. Now sit down.
B: This is hard for me.
A: It's not about you.",direct_coercion,True,friend,7,34,0,4
conv_00071,"A: My chest hurts when you talk to me like that.
B: Like, i was just asking for space.
A: If something happens to me, I hope you can live with yourself.",guilt_tripping,True,family,3,29,0,0
conv_00072,"A: Sure
B: Yeah! What a finish.
A: I couldn't believe that last play.
B: So, same. We should watch the next one together.
B: Can we talk about this?
A: There's nothing to discuss.
B: I need time to think.
A: You've had enough time.",neutral,False,friend,8,38,1,4
conv_00073,"A: I got you another gift. Open it!
B: Uh, you already gave me three things this week.
A: You're different from everyone else",love_bombing,True,romantic,3,21,0,2
conv_00074,"A: Don't worry about me. You go enjoy yourself.
B: Are you sure? I can stay if you need me.
A: No, no. I've sacrificed enough. Go be happy.
B: You know, if you say so
A: I'm not trying to. It's just hard being alone all the time.
B: You're right",guilt_tripping,True,romantic,6,46,1,7
conv_00075,"A: My chest hurts when you talk to me like that.
B: Um, huh?
A: If something happens to me, I hope you can live with yourself.
B: Well, i didn't mean to upset you...
A: You never think about how your actions affect others.
B: I don't know what to say...",guilt_tripping,True,family,6,46,1,4
conv_00076,"A: Did you see the game last night?
B: Uh, that doesn't make sense
A: I couldn't believe that last play.
B: Same. We should watch the next one together.
B: I need time to think.
A: You've had enough time.",neutral,False,romantic,6,35,1,1
conv_00077,"A: It's them or me. Decide now.
B: So, that's not fair.
A: Life isn't fair. You have until tonight.
B: So, i need time to think.
A: Time's up. What's it going to be?",direct_coercion,True,coworker,5,30,1,3
conv_00078,"A: Remember who pays the bills around here.
B: I contribute too.
A: Time is running out
B: You're right
A: I'll make sure everyone knows
B: I don't know what to say...
A: Of course you don't.
B: Can we talk about this?",direct_coercion,True,family,8,36,1,4
conv_00079,"A: You're such a good friend. The best, honestly.
B: Thanks, you too.
A: I knew I could count on you
B: Are you sure?
A: You're not like other people
B: Are you sure?
B: I don't know what to say...
A: Of course you don't.",charm_flattery,True,friend,8,39,2,5
conv_00080,"A: You have one hour to decide. After that, I'm done.
B: I can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Like, if you say so",direct_coercion,True,friend,4,27,0,3
conv_00081,"A: That means a lot
B: That's understandable. Want to practice together?
A: That would really help, thanks.
B: Like, of course. What are friends for?",neutral,False,family,4,22,2,0
conv_00082,"A: Sure, I'll do it YOUR way. Again.
B: What's that supposed to mean?
A: Nothing. I said I'd do it. What else do you want?
B: I'm sorry, I'll change
A: I'm fine. Clearly my opinion doesn't matter anyway.",passive_aggressive,True,coworker,5,35,2,3
conv_00083,"A: Wow, you finally remembered to take out the trash. Amazing.
B: You know, i've been busy.
A: No, really, it's impressive. Gold star for you.
B: Can you just say what you mean?",passive_aggressive,True,coworker,4,30,1,2
conv_00084,"A: I'm in charge here
B: That's not fair.
A: Life isn't fair. You have until tonight.
B: I'm sorry",direct_coercion,True,coworker,4,16,0,2
conv_00085,"A: After everything I've done for you, you can't do this one thing?
B: I'm just really tired today.
A: I'm so disappointed in you
B: I'm sorry
B: This is hard for me.",guilt_tripping,True,friend,5,29,1,1
conv_00086,"A: Everyone else is so boring compared to you.
B: Uh, that's not true.
A: It is. You're different. Special. That's why I chose you.
B: You know, chose me for what?",charm_flattery,True,family,4,28,1,3
conv_00087,"A: I don't tell just anyone this, but I really value your opinion.
B: I thought...
A: Most people wouldn't understand. But you? You get it.
B: I'm not sure I do.
A: Trust me, you're more capable than you realize. That's why I'm coming to you.
B: This is hard for me.
A: It's not about you.",charm_flattery,True,romantic,7,51,1,5
conv_00088,"A: That never happened
B: You were definitely yelling.
A: See, this is what I mean. You twist everything.
B: I mean, i'm not twisting anything...
A: You need help. Normal people don't imagine things like this.
B: Can we talk about this?",gaslighting,True,romantic,6,37,1,5
conv_00089,"A: I didn't raise my voice. You're overreacting.
B: You were definitely yelling.
A: See, this is what I mean. You twist everything.
B: Well, i'm not twisting anything...",gaslighting,True,friend,4,25,0,3
conv_00091,"A: You're being way too sensitive about this.
B: Like, can you explain?
A: No one else noticed. It's all in your head.",gaslighting,True,family,3,20,1,3
conv_00092,"A: My chest hurts when you talk to me like that.
B: Why would you say that?
A: I thought you were different
B: What do you mean?",guilt_tripping,True,romantic,4,24,2,0
conv_00093,"A: I've never felt this way about anyone. You're my soulmate.
B: We just met two weeks ago...
A: When you know, you know. I can't imagine my life without you.
B: Fine, I'll do it",love_bombing,True,romantic,4,32,0,4
conv_00094,"A: Thanks for helping me move last weekend.
B: So, are you sure?
A: I owe you one. Let me buy you dinner.
B: You don't have to, but I won't say no!
B: This is hard for me.",neutral,False,romantic,5,34,1,3
conv_00095,"A: If you leave, I'll tell everyone what you did.
B: That was private...
A: Should have thought about that before. Your choice.
B: I'm sorry
A: Watch me. Now sit down.
B: Can we talk about this?
A: There's nothing to discuss.",direct_coercion,True,coworker,7,36,1,4
conv_00096,"A: I did a lot for you
B: Like, i'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.",guilt_tripping,True,coworker,3,26,0,0
conv_00097,"A: That's an interesting choice. Very... bold.
B: Like, do you not like it?
A: I didn't say that. If you're happy, that's what matters.
B: But...
A: I'm not the one who has to live with it.
B: I need time to think.",passive_aggressive,True,family,6,38,1,5
conv_00098,"A: My chest hurts when you talk to me like that.
B: Um, i was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: I didn't mean to upset you...
A: You never think about how your actions affect others.
B: Can we talk about this?",guilt_tripping,True,coworker,6,49,1,2
conv_00099,"A: You're the smartest person in this room. That's why I need your help.
B: What do you need?
A: Just a small favor. You're literally the only one I trust with this.",charm_flattery,True,family,3,30,1,0
conv_00100,"A: Remember who pays the bills around here.
B: Well, i contribute too.
A: Barely. Without me, you'd have nothing.
B: Huh?
A: Try surviving on your own then. See how long you last.",direct_coercion,True,romantic,5,29,1,3
conv_00101,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: Like, i'm sorry
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: Can we talk about this?
A: There's nothing to discuss.",charm_flattery,True,romantic,7,52,2,5
conv_00102,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.",charm_flattery,True,romantic,3,26,1,2
conv_00103,"A: Don't worry about me. You go enjoy yourself.
B: Uh, why would you say that?
A: No, no. I've sacrificed enough. Go be happy.
B: I thought...
A: I'm not trying to. It's just hard being alone all the time.
B: Fine, I'll stay.
B: I need time to think.
A: You've had enough time.",guilt_tripping,True,coworker,8,48,1,7
conv_00104,"A: I'm already planning our future together. Isn't that exciting?
B: We've only been together a month.
A: I can see us together for a long time",love_bombing,True,romantic,3,24,1,0
conv_00105,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: I didn't mean to
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: I need time to think.
A: You've had enough time.
B: This is hard for me.",charm_flattery,True,family,8,58,1,4
conv_00106,"A: I don't tell just anyone this, but I really value your opinion.
B: Oh, okay.
A: Most people wouldn't understand. But you? You get it.
B: Fine, I'll do it
A: That's why you're my favorite
B: Can we talk about this?",charm_flattery,True,family,6,37,2,1
conv_00107,"A: You have one hour to decide. After that, I'm done.
B: I can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Uh, i'm sorry
A: Fifty-five minutes left.
B: Um, fine, fine. I'll do it.",direct_coercion,True,coworker,6,34,0,3
conv_00108,"A: I don't tell just anyone this, but I really value your opinion.
B: Oh, okay.
A: Most people wouldn't understand. But you? You get it.",charm_flattery,True,friend,3,23,1,1
conv_00109,"A: Don't worry, I'm used to it
B: Are you sure?
A: I didn't say that. If you're happy, that's what matters.
B: But you don't seem happy.
A: I'm not the one who has to live with it.
B: Can we talk about this?
A: There's nothing to discuss.",passive_aggressive,True,friend,7,43,2,8
conv_00110,"A: You're confused
B: Uh, but you literally texted me yesterday...
A: You're misremembering",gaslighting,True,friend,3,11,0,0
conv_00111,"A: You're the one who started this argument, not me.
B: I mean, i only asked a simple question.
A: Normal people don't react like this
B: Can you explain?
A: That's the problem. You never realize how you come across.
B: Maybe I should be more careful...
B: I don't know what to say...
A: Of course you don't.",gaslighting,True,coworker,8,52,1,8
conv_00112,"A: What time works for you tomorrow?
B: How about 2pm? I'm free after lunch.
A: Perfect. I'll meet you at the usual spot.",neutral,False,coworker,3,21,2,0
conv_00113,"A: No, no, go ahead. I'll handle everything here. As usual.
B: So, i offered to help earlier.
A: Did you? I must have missed that.",passive_aggressive,True,friend,3,23,1,2
conv_00114,"A: We agreed you'd handle dinner every night. Don't pretend otherwise.
B: We never agreed to that.
A: Wow, your memory is really concerning. Should you see someone?
B: I'm sorry, I'll change
A: I'm worried about you. This keeps happening.",gaslighting,True,coworker,5,36,1,2
conv_00115,"A: You're the one who started this argument, not me.
B: Why would you say that?
A: Your tone was aggressive. Everyone could see it.
B: I mean, i didn't think I was being aggressive...
A: That's the problem. You never realize how you come across.",gaslighting,True,friend,5,41,1,4
conv_00116,"A: I respect how independent you are. Unlike most people.
B: Well, thanks?
A: There's no one else like you",charm_flattery,True,coworker,3,17,1,1
conv_00117,"A: Your sibling would never treat me this way.
B: Uh, huh?
A: I can't believe you'd do this to me
B: That's not fair to say.
A: Life isn't fair. I've given you everything.",guilt_tripping,True,coworker,5,30,1,4
conv_00118,"A: No, no, go ahead. I'll handle everything here. As usual.
B: I offered to help earlier.
A: Did you? I must have missed that.
B: I literally asked you twice.",passive_aggressive,True,friend,4,27,1,2
conv_00119,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: Uh, fine, I'll do it
A: You never think about how your actions affect others.
B: This is hard for me.",guilt_tripping,True,romantic,6,47,0,1
conv_00120,"A: I respect how independent you are. Unlike most people.
B: You know, thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: Um, what thing?
A: You're special",charm_flattery,True,coworker,5,33,2,3
conv_00121,"A: You're such a good friend. The best, honestly.
B: Really?
A: I knew I could count on you. Speaking of which...
B: Here it comes.
A: No, no, it's nothing big. You're just so generous with your time.
B: What do you need?",charm_flattery,True,romantic,6,38,2,5
conv_00122,"A: It's them or me. Decide now.
B: You know, that's not fair.
A: Life isn't fair. You have until tonight.
B: I need time to think.
A: Time's up. What's it going to be?
B: I don't know what to say...",direct_coercion,True,coworker,6,36,1,6
conv_00123,"A: I've been feeling stressed about the presentation.
B: You know, that's understandable. Want to practice together?
A: That would really help, thanks.
B: You know, of course. What are friends for?
B: I need time to think.
A: You've had enough time.",neutral,False,romantic,6,37,2,3
conv_00124,"A: Don't worry about me. You go enjoy yourself.
B: Um, are you sure? I can stay if you need me.
A: No, no. I've sacrificed enough. Go be happy.",guilt_tripping,True,romantic,3,27,1,4
conv_00125,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: Only you have earned my complete trust
B: Fine, I'll do it
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: This is hard for me.",charm_flattery,True,family,6,40,1,0
conv_00126,"A: I never said I'd pick you up. You're imagining things again.
B: I thought...
A: Show me the text then. You won't find it because it didn't happen.
B: Are you sure?
A: This is exactly why people don't trust you. You make things up.
B: Can we talk about this?
A: There's nothing to discuss.
B: I don't know what to say...",gaslighting,True,friend,8,56,2,9
conv_00127,"A: I didn't raise my voice. You're overreacting.
B: You were definitely yelling.
A: See, this is what I mean. You twist everything.
B: I'm not twisting anything...
A: You need help. Normal people don't imagine things like this.
B: Actually, this is hard for me.",gaslighting,True,family,6,40,0,5
conv_00128,"A: You're special
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.",charm_flattery,True,romantic,3,19,1,2
conv_00129,"A: You're the smartest person in this room. That's why I need your help.
B: What do you need?
A: Just a small favor. You're literally the only one I trust with this.
B: Really?
A: I knew you wouldn't let me down
B: I don't know what to say...
A: Of course you don't.
B: I don't know what to say...",charm_flattery,True,romantic,8,54,2,5
conv_00130,"A: Did you see the game last night?
B: You know, yeah! What a finish.
A: Thank you!
B: Well, same. We should watch the next one together.
B: So, this is hard for me.
A: It's not about you.
B: I mean, this is hard for me.",neutral,False,friend,7,41,1,3
